a	uma
straighten	endireitar
strain	cepa
strange	estranho
stranger	desconhecido
strategic	estratégico
strategy	estratégia
straw	palha
streak	risca
stream	corrente
street	rua
strength	força
strengthen	fortalecer
stress	estresse
stretch	alongamento
strict	estrito
strictly	estritamente
strike	ataque
striking	impressionante
string	corda
strip	faixa
stroke	golpe
strong	forte
strongly	fortemente
structural	estrutural
structure	estrutura
struggle	luta
student	aluna
studio	estúdio
study	estude
stuff	material
stumble	tropeçar
stupid	estúpido
style	estilo
subject	assunto
submit	enviar
subsequent	subseqüente
subsidy	subsídio
substance	substância
substantial	substancial
substantially	substancialmente
subtle	sutil
suburb	subúrbio
suburban	suburbano
succeed	suceder
success	sucesso
successful	bem sucedido
successfully	com sucesso
such	tal
suck	chupar
sudden	repentino
suddenly	de repente
sue	processar
suffer	sofrer
suffering	sofrimento
sufficient	suficiente
sugar	açúcar
suggest	sugerir
suggestion	sugestão
suicide	suicídio
suit	terno
suitable	adequado
suite	suíte
sum	soma
summary	resumo
summer	verão
summit	cimeira
sun	sol
sunlight	luz solar
sunny	ensolarado
super	super
superior	superior
supermarket	supermercado
supervisor	supervisor
supplier	fornecedor
supply	fornecem
support	apoio
supporter	suporte
supportive	suporte
suppose	supor
supposed	suposto
supposedly	supostamente
supreme	supremo
sure	certo
surely	certamente
surface	superfície
surgeon	cirurgião
surgery	cirurgia
surprise	surpresa
surprised	surpreso
surprising	surpreendente
surprisingly	surpreendentemente
surround	cercar
surrounding	em torno da
surveillance	vigilância
survey	pesquisa
survival	sobrevivência
survive	sobreviver
survivor	sobrevivente
suspect	suspeito
suspend	suspender
suspicion	suspeita
suspicious	suspeito
sustain	sustentar
sustainable	sustentável
swallow	engolir
swear	jurar
sweat	suor
sweater	suéter
sweep	varrer
sweet	doce
swell	inchar
swim	nadar
swimming	natação
swing	balanço
switch	interruptor
sword	espada
symbol	símbolo
symbolic	simbólico
sympathy	simpatia
symptom	sintoma
syndrome	síndrome
system	sistema
table	mesa
tablespoon	colher de sopa
tackle	tackle
tactic	tática
tag	etiqueta
tail	cauda
take	leva
tale	conto
talent	talento
talented	talentoso
talk	conversa
tall	alto
tank	tanque
tap	toque
tape	fita
target	alvo
task	tarefa
taste	gosto
tax	imposto
taxpayer	contribuinte
tea	chá
teach	ensinar
teacher	professor
teaching	ensino
team	equipe
teammate	companheiro de equipe
tear	rasgar
teaspoon	colher de chá
technical	técnico
technician	técnico
technique	técnica
technological	tecnológica
technology	tecnologia
teen	adolescente
teenage	adolescente
teenager	adolescente
telephone	telefone
telescope	telescópio
television	televisão
tell	contar
temperature	temperatura
temple	templo
temporary	temporário
ten	dez
tend	tender
tendency	tendência
tender	ternura
tennis	tênis
tension	tensão
tent	barraca
term	prazo
terms	condições
terrain	terreno
terrible	terrível
terribly	terrivelmente
terrific	formidável
territory	território
terror	terror
terrorism	terrorismo
terrorist	terrorista
test	teste
testify	testemunhar
testimony	testemunho
testing	testes
text	texto
textbook	livro didático
texture	textura
than	do que
thank	obrigado
thanks	obrigado
thanksgiving	ação de graças
that	aquele
the	a
theater	teatro
their	deles
them	eles
theme	tema
themselves	si mesmos
then	então
theological	teológico
theology	teologia
theoretical	teórico
theory	teoria
therapist	terapeuta
therapy	terapia
there	há
thereby	assim
therefore	portanto
these	estes
they	elas
thick	espesso
thigh	coxa
thin	fino
thing	coisa
think	acho
thinking	pensando
third	terceiro
thirty	trinta
this	esta
thoroughly	completamente
those	essa
though	embora
thought	pensamento
thousand	mil
thread	fio
threat	ameaça
threaten	ameaçar
three	três
threshold	limiar
thrive	prosperar
throat	garganta
through	através dos
throughout	ao longo
throw	jogar
thumb	polegar
thus	assim
ticket	bilhete
tide	maré
tie	gravata
tight	justa
tighten	apertar
tightly	hermeticamente
tile	telha
till	para
timber	madeira
time	tempo
timing	cronometragem
tiny	minúsculo
tip	dica
tire	pneu
tired	cansado
tissue	tecido
title	título
to	para
tobacco	tabaco
today	hoje
toe	dedo do pé
together	juntos
toilet	banheiro
tolerance	tolerância
tolerate	tolerar
toll	pedágio
tomato	tomate
tomorrow	amanhã
tone	tom
tongue	língua
tonight	hoje à noite
too	demais
tool	ferramenta
tooth	dente
top	topo
topic	tópico
toss	sorteio
total	total
totally	totalmente
touch	tocar
touchdown	aterragem
tough	difícil
tour	passeio
tourism	turismo
tourist	turista
tournament	torneio
toward	em direção a
towards	em direção
towel	toalha
tower	torre
town	cidade
toxic	tóxico
toy	brinquedo
trace	traço
track	pista
trade	comércio
trading	comércio
tradition	tradição
traditional	tradicional
traditionally	tradicionalmente
traffic	tráfego
tragedy	tragédia
tragic	trágico
trail	trilha
trailer	trailer
train	trem
trainer	treinador
training	treinamento
trait	traço
transaction	transação
transfer	transferência
transform	transformar
transformation	transformação
transit	trânsito
transition	transição
translate	traduzir
translation	tradução
transmission	transmissão
transmit	transmite
transport	transporte
transportation	transporte
trap	armadilha
trash	lixo
trauma	trauma
travel	viagem
traveler	viajante
tray	bandeja
treasure	tesouro
treat	tratar
treatment	tratamento
treaty	tratado
tree	árvore
tremendous	tremendo
trend	tendência
trial	tentativas
tribal	tribal
tribe	tribo
trick	truque
trigger	gatilho
trim	aparar
trip	viagem
triumph	triunfo
troop	tropa
tropical	tropical
trouble	problema
troubled	perturbado
truck	caminhão
true	verdade
truly	verdadeiramente
trunk	porta malas
trust	confiar em
truth	verdade
try	experimentar
t-shirt	camisa
tube	tubo
tuck	arregaçar
tumor	tumor
tune	afinação
tunnel	túnel
turkey	peru
turn	vez
tv	tv
twelve	doze
twentieth	xx
twenty	vinte
twice	duas vezes
twin	gêmeo
twist	torção
two	dois
two-thirds	dois terços
type	tipo
typical	típica
typically	tipicamente
ugly	feio
uh	uh
ultimate	final
ultimately	em última análise
unable	incapaz
uncertain	incerto
uncertainty	incerteza
uncle	tio
uncomfortable	desconfortável
uncover	descobrir
under	debaixo
undergo	sofrer
undergraduate	estudante universitário
underlying	subjacente
undermine	minar
understand	compreendo
understanding	compreensão
undertake	empreender
unemployment	desemprego
unexpected	inesperado
unfair	injusto
unfold	desdobrar
unfortunately	infelizmente
unhappy	infeliz
uniform	uniforme
union	união
unique	único
unit	unidade
unite	unir
united	unido
unity	unidade
universal	universal
universe	universo
university	universidade
unknown	desconhecido
unless	a menos que
unlike	ao contrário
unlikely	improvável
unprecedented	sem precedente
until	até
unusual	incomum
up	acima
update	atualizar
upon	sobre
upper	superior
upset	chateado
upstairs	em cima
urban	urbano
urge	instar
us	nós
use	uso
used	usava
useful	útil
user	do utilizador
usual	usual
usually	geralmente
utility	utilidade
utilize	utilizar
vacation	férias
vaccine	vacina
vacuum	vácuo
valid	válido
validity	validade
valley	vale
valuable	valioso
value	valor
van	de
vanish	desaparecer
variable	variável
variation	variação
variety	variedade
various	vários
vary	variar
vast	grande
vegetable	vegetal
vehicle	veículo
vendor	fornecedor
venture	risco
verbal	verbal
verdict	veredito
version	versão
versus	contra
vertical	vertical
very	muito
vessel	embarcação
veteran	veterano
via	via
victim	vítima
victory	vitória
video	vídeo
view	visão
viewer	espectador
village	aldeia
violate	violar
violation	violação
violence	violência
violent	violento
virtual	virtual
virtually	virtualmente
virtue	virtude
virus	vírus
visible	visível
vision	visão
visit	visita
visitor	visitante
visual	visual
vital	vital
vitamin	vitamina
vocal	vocal
voice	voz
volume	volume
voluntary	voluntário
volunteer	voluntário
vote	voto
voter	eleitor
voting	votação
vs	vs
vulnerable	vulnerável
wage	salário
wagon	vagão
waist	cintura
wait	aguarde
wake	acordar
walk	andar
walking	passeio a pé
wall	parede
wander	vaguear
want	quer
war	guerra
warehouse	armazém
warm	caloroso
warmth	calor
warn	advertir
warning	aviso
warrior	guerreiro
wash	lavagem
waste	desperdício
watch	assistir
water	água
wave	onda
way	caminho
we	nós
weak	fraco
weaken	enfraquecer
weakness	fraqueza
wealth	riqueza
wealthy	rico
weapon	arma
wear	usar
weather	clima
weave	tecer
web	rede
wedding	casamento
weed	erva daninha
week	semana
weekend	fim de semana
weekly	semanal
weigh	pesar
weight	peso
weird	esquisito
welcome	bem-vindo
welfare	bem-estar
well	bem
well-being	bem-estar
well-known	bem conhecido
west	oeste
western	ocidental
wet	molhado
whale	baleia
what	o quê
whatever	tanto faz
wheat	trigo
wheel	roda
wheelchair	cadeira de rodas
when	quando
whenever	sempre que
where	onde
whereas	enquanto que
wherever	onde quer que
whether	se
which	qual
while	enquanto
whip	chicote
whisper	sussurro
white	branco
who	quem
whoever	quem quer que
whole	todo
whom	quem
whose	de quem
why	porque
wide	largo
widely	largamente
widespread	muito difundido
widow	viúva
wife	esposa
wild	selvagem
wilderness	deserto
wildlife	vida selvagem
will	irá
willing	disposto
willingness	boa vontade
win	ganhar
wind	vento
window	janela
wine	vinho
wing	asa
winner	vencedora
winter	inverno
wipe	limpar
wire	arame
wisdom	sabedoria
wise	sábio
wish	desejo
with	com
withdraw	retirar
withdrawal	retirada
within	dentro
without	sem
witness	testemunha
wolf	lobo
woman	mulher
wonder	maravilha
wonderful	maravilhoso
wood	madeira
wooden	de madeira
word	palavra
work	trabalho
worker	trabalhador
working	trabalhando
workout	exercite-se
workplace	ambiente de trabalho
works	trabalho
workshop	oficina
world	mundo
worldwide	no mundo todo
worried	preocupado
worry	preocupar-se
worth	que vale a pena
would	seria
wound	ferida
wow	uau
wrap	embrulho
wrist	pulso
write	escreva
writer	escritor
writing	escrevendo
written	escrito
wrong	errado
yard	jarda
yeah	sim
year	ano
yell	gritar
yellow	amarelo
yes	sim
yesterday	ontem
yet	ainda
yield	rendimento
you	vocês
young	jovem
youngster	jovem
your	seu
yours	sua
yourself	você mesmo
youth	juventude
zone	zona
